ISO,Country,Data source,Sector,Gas,Unit,Year,Value
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2008,25.45
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2008,20.54
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2008,5.22
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2008,1.45
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2008,1.99
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2008,2.31
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2008,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2008,0.48
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2008,0.51
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2008,0.59
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2008,0.34
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2008,0.31
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2008,0.07
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2007,447.0
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2007,360.39
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2007,139.15
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2007,138.66
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2007,147.63
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2007,145.36
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2007,112.29
